the Stock Exchange,GEM,"('instrument', 0.17374904453754425)"
the Stock Exchange,GEM,"('instrument', 0.17374904453754425)"
the Stock Exchange,the Main Board,"('subsidiary', 0.3211733400821686)"
the Stock Exchange,GEM,"('instrument', 0.17374904453754425)"
the Stock Exchange,Winto Group (Holdings) Limited,"('subsidiary', 0.3211733400821686)"
GEM,GEM,"('instance of', 0.1769876927137375)"
GEM,the Main Board,"('part of', 0.1340118795633316)"
GEM,GEM,"('instance of', 0.1769876927137375)"
GEM,Winto Group (Holdings) Limited,"('part of', 0.1340118795633316)"
GEM,ﬁCompanyﬂ,"('part of', 0.1340118795633316)"
GEM,the Main Board,"('part of', 0.1340118795633316)"
GEM,GEM,"('instance of', 0.1769876927137375)"
GEM,Winto Group (Holdings) Limited,"('part of', 0.1340118795633316)"
GEM,ﬁCompanyﬂ,"('part of', 0.1340118795633316)"
GEM,the Stock Exchange,"('part of', 0.1340118795633316)"
the Main Board,GEM,"('instrument', 0.17374904453754425)"
the Main Board,Winto Group (Holdings) Limited,"('instance of', 0.16304515302181244)"
the Main Board,ﬁCompanyﬂ,"('field of work', 0.23717927932739258)"
the Main Board,the Stock Exchange,"('instrument', 0.17374904453754425)"
the Main Board,Company,"('field of work', 0.23717927932739258)"
GEM,Winto Group (Holdings) Limited,"('part of', 0.1340118795633316)"
GEM,ﬁCompanyﬂ,"('part of', 0.1340118795633316)"
GEM,the Stock Exchange,"('part of', 0.1340118795633316)"
GEM,Company,"('part of', 0.1340118795633316)"
GEM,GEM,"('instance of', 0.1769876927137375)"
Winto Group (Holdings) Limited,ﬁCompanyﬂ,"('instance of', 0.20197522640228271)"
Winto Group (Holdings) Limited,the Stock Exchange,"('instrument', 0.17374904453754425)"
Winto Group (Holdings) Limited,Company,"('instance of', 0.20197522640228271)"
Winto Group (Holdings) Limited,GEM,"('instrument', 0.17374904453754425)"
Winto Group (Holdings) Limited,Winto  Group (Holdings) Limited,"('religion', 0.1801052838563919)"
ﬁCompanyﬂ,the Stock Exchange,"('instrument', 0.17374904453754425)"
ﬁCompanyﬂ,Company,"('instance of', 0.1769876927137375)"
ﬁCompanyﬂ,GEM,"('instrument', 0.17374904453754425)"
ﬁCompanyﬂ,Winto  Group (Holdings) Limited,"('follows', 0.5912376642227173)"
ﬁCompanyﬂ,Basic,"('follows', 0.5912376642227173)"
the Stock Exchange,Company,"('subsidiary', 0.3211733400821686)"
the Stock Exchange,GEM,"('instrument', 0.17374904453754425)"
the Stock Exchange,Winto  Group (Holdings) Limited,"('subsidiary', 0.3211733400821686)"
the Stock Exchange,Basic,"('subsidiary', 0.3211733400821686)"
the Stock Exchange,Share premium Exchange  reserve Share,"('subsidiary', 0.3211733400821686)"
Company,GEM,"('instrument', 0.17374904453754425)"
Company,Winto  Group (Holdings) Limited,"('follows', 0.5912376642227173)"
Company,Basic,"('follows', 0.5912376642227173)"
Company,Share premium Exchange  reserve Share,"('follows', 0.5912376642227173)"
Company,Accumulated,"('follows', 0.5912376642227173)"
GEM,Winto  Group (Holdings) Limited,"('part of', 0.1340118795633316)"
GEM,Basic,"('part of', 0.1340118795633316)"
GEM,Share premium Exchange  reserve Share,"('part of', 0.1340118795633316)"
GEM,Accumulated,"('part of', 0.1340118795633316)"
GEM,Œ Exchange,"('part of', 0.1340118795633316)"
Winto  Group (Holdings) Limited,Basic,"('subsidiary', 0.3843516409397125)"
Winto  Group (Holdings) Limited,Share premium Exchange  reserve Share,"('subsidiary', 0.3843516409397125)"
Winto  Group (Holdings) Limited,Accumulated,"('subsidiary', 0.3843516409397125)"
Winto  Group (Holdings) Limited,Œ Exchange,"('subsidiary', 0.3843516409397125)"
