Name,URL,Industry,Description
Systems & Information Technology Pty Ltd,http://www.sitbotswana.com/,Information Technology & Services,"Company Profile
Systems & Information Technology (Pty) Ltd was incorporated in July 1992 and appointed as a DELL authorized distributor for Botswana in 1994. In line with Dell’s policy to appoint one distributor per country, SIT to date, successfully continues to sell and, more importantly, support effectively the largest installation of DELL based servers, desktops and notebooks. SIT is currently a 100% citizen owned company based in Botswana.

SIT Expansion & Localisaton Plan
SIT currently employs 35 citizens, 20 of whom are in the engineering services division. This number has grown from 2 citizens when the company was first incorporated. SIT has also taken on a citizen partner in its service company and hopes to accelerate the number of qualified citizen staff dramatically as demands for these resources increase. Training and skills transfer to local staff is a key priority and we are one of the few IT companies in Botswana who have succeeded beyond expectation in this endeavour. SIT operates from its own premises valued at P2.5m in the Gaborone International Commerce Park (GICP). As of 1st May 2004 we moved into our new premises and are fully operational.

SIT Services (Pty) Ltd.
SIT Services was incorporated in March 2000 and is the installation and hardware maintenance arm of SIT. It has a fully equipped workshop and staging area with a help desk and call logging facility for contract clients. We have been a Microsoft Certified Partner since 2000 and this certification enables us to effectively provide for installation and support of the various Microsoft Technologies. Due to its continued endeavour for excellence and innovation on the Microsoft platform Systems & Information Technology has been awarded the Microsoft Gold Certified Partner status on the Advanced Infrastructure competency in June 2006, which will significantly add value to all our customers."
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
ITP - Information Technology Professionals,http://www.itprosusa.com/,Information Technology & Services,"WE ARE INFORMATION TECHNOLOGY PROFESSIONALS.
But our friends, neighbors and clients call us ITP or IT Pros.

With nearly 20 years of experience and hundreds of happy clients, Information Technology Professionals provides managed IT service and strategy for small to mid-sized businesses, delivering customized technology solutions that allow our clients to function at peak performance and profitability. While we serve clients of all shapes and sizes across a variety of industries, we are highly experienced in meeting IT needs in the manufacturing, medical, and professional services (both legal and financial) sectors.

Feel Connected
We speak the language of your business and ours, translating IT into terms that are understandable, empowering, and ultimately, transformative. We strive to not only help our clients get connected… but more importantly, to Feel Connected.

For us, Feel Connected is not just about integrated systems, streamlined services and the cloud. Sure, those are important aspects of what we do. And while we pride ourselves on our tech chops, we’re first and foremost good listeners and creative thinkers. Trust and honesty and open communication are more than just buzzwords around our office: they’re the foundational elements of exceptional service and proven results.

Can we help make your job easier and your business run more smoothly?
We’ll boldly answer that with a “Yes,” and we look forward to talking more with you about just how we’ll do it.

Call us today:  1.833.223.3668 

----

Major services and product categories: 

   - Virtual CIO Services
   - Software Products such as Microsoft Office 365 Solutions
   - Hardware, Server, and Virtualization Solutions
   - Backup & Disaster Recovery Help
   - Cloud, Hyperconverged, Hosted & Co-Location Solutions
   - Email Solutions and Database Support
   - Mobile Device Management & Integration Solutions
   - Office Phone System Solutions (VOIP)
   - Secure Document Management"
"World Information Technology Co., Ltd.",http://wit.co.th/,Information Technology & Services,"World Information Technology is the leading Distributor and System Integrator in designing, equipping and implementing Computer Networks Infrastructure, IT Security, Voice and VDO conference system, and Application Delivery Solutions for Finance Service Institutes, Government offices, State Enterprises, Academic Institutes, Healthcarecompanies, Manufacturers, and Network Service Providers. WIT provides extensive end-to-end solutions for IT security, enterprise Wired&Wireless LAN, video conference and telepresence, WAN network, server and storage, and cabling systems.

With over 31 years of experience in analyzing significant trends of information systems, designing, implementing, and setting up the framework of information systems, WIT provides innovative, and effective products and soluti oonnsly juqsuta liffoierd , complete, your organization’s diverse requirements."
Information Technology Services - ITS,http://www.its-dxb.ae/,Information Technology & Services,"Founded in 1998 and based in Dubai UAE, ITS is a distributor and system integrator of leading CRM, APM, EMM and other Business Software products for large and medium-sized enterprises.

As pioneers in providing and implementing enterprise solutions in the region, our mission remains to dedicate our business and technical expertise to the deployment and the evolution of the concept.

We believe a customer-centered attitude will indubitably benefit the companies and the economy of the region.

For more information please visit www.its-dxb.ae"
Dodoca Information Technology (HK) Ltd,N/A,Information Technology & Services,"Dodoca is the leading developer of WeChat Marketing software, which enables to harness the power of social media referral marketing to build profitable O2O business. The headquarter is in Shanghai, a listed company (stock code: 430177) and we serve more than 2 million business users across China, Singapore as well as other regional markets. We are supported by a team of over 400 programmers & technicians who confinuously upgrade the Dodoca WeChat CRM system & mobile social business. For details, you may kindly have a quick look at: http://dodoca.com.hk/en/"
Independent Information Technology and Services Professional,N/A,Information Technology & Services,N/A
Information Technology Core,http://www.goitc.com/,Computer Networking,"Information Technology Core’s clients benefit greatly when they choose to partner with us. Not only will you have more energy and time to focus on your business while we handle your IT needs, but you’ll experience happier and more productive employees, too."
